Function Map,,,,,,,,,,,,,,,,,,
Officially Documented Addresses,,Auto-analysis possible functions,,User-guessed functions,,,,,,,,Symgrate,,,,,,
20221112.r2,,Binja,Ghidra,fventuri,,,,nu (0x6E75),,,,Binary Ninja (binja),,radare2,,Ghidra,,Library
address,note,address,address,address,function,guess/fact,notes,address,function,guess/fact,notes,address,signature match,address,signature match,address,signature match,
,,,,,,,,08000000,bootloader start address,g,based on G90 & STM32,,,,,,,
0x08020000,f _base,,,,,,,,,,,,,,,,,
,,sub_8027ef0,FUN_08027ef0,,,,,,,,,,,,,,,
,,sub_8027f2e,,,,,,,,,,,,,,,,
,,sub_8027f34,FUN_08027f34,,,,,,,,,,,,,,,
,,sub_8027f9e,,,,,,,,,,,,,,,,
,,sub_8027fac,FUN_08027fac,,,,,,,,,08027fac,arm_fir_f32,08027fac,arm_fir_f32,08027fac,arm_fir_f32,/opt/symgrate2-archive/KeilPacks/MediaTek.MTx.3.1.0.pack/driver/CMSIS/Lib/libarm_cortexM4lf_math.a
,,sub_8028380,FUN_08028380,,,,,,,,,08028380,arm_fir_f32,08028380,arm_fir_f32,08028380,arm_fir_f32,/opt/symgrate2-archive/KeilPacks/MediaTek.MTx.3.1.0.pack/driver/CMSIS/Lib/libarm_cortexM4lf_math.a
,,sub_8028e88,FUN_08028e88,,,,,,,,,08028e88,arm_fir_f32,08028e88,arm_fir_f32,08028e88,arm_fir_f32,/opt/symgrate2-archive/KeilPacks/MediaTek.MTx.3.1.0.pack/driver/CMSIS/Lib/libarm_cortexM4lf_math.a
,,sub_8029474,FUN_08029474,,,,,,,,,,,,,,,
,,sub_8029480,FUN_08029480,,,,,,,,,,,,,,,
,,sub_802948c,FUN_0802948c,,,,,,,,,,,,,,,
,,sub_8029498,FUN_08029498,,,,,,,,,,,,,,,
,,sub_80295f0,FUN_080295f0,,,,,,,,,,,,,,,
,,sub_80296b4,FUN_080296b4,,,,,,,,,,,,,,,
,,sub_8029958,FUN_08029958,,,,,,,,,,,,,,,
,,sub_80299b0,FUN_080299b0,,,,,,,,,,,,,,,
,,sub_80299f4,FUN_080299f4,,,,,,,,,,,,,,,
,,sub_8029a70,FUN_08029a70,,,,,,,,,,,,,,,
,,sub_8029a84,FUN_08029a84,,,,,,,,,,,,,,,
,,sub_8029a98,FUN_08029a98,,,,,,,,,,,,,,,
,,sub_8029b00,FUN_08029b00,,,,,,,,,,,,,,,
,,sub_8029f08,FUN_08029f08,,,,,,,,,,,,,,,
,,sub_802a0b4,FUN_0802a0b4,,,,,,,,,,,,,,,
,,sub_802a234,FUN_0802a234,,,,,,,,,,,,,,,
,,sub_802a258,FUN_0802a258,,,,,,,,,,,,,,,
,,sub_802a260,FUN_0802a260,,,,,,,,,,,,,,,
,,sub_802a3f4,FUN_0802a3f4,,,,,,,,,,,,,,,
,,sub_802a658,FUN_0802a658,,,,,,,,,0802a658,GUI_GetBkColor,0802a658,GUI_GetBkColor,,,/opt/symgrate2-archive/KeilPacks/Keil.STM32F4xx_DFP.2.2.0.pack/Middlewares/ST/STemWin/Lib/STemWin524b_CM4_GCC_ot.a
,,sub_802a668,FUN_0802a668,,,,,,,,,0802a668,_HTTPServer_sleepms,0802a668,_HTTPServer_sleepms,0802a668,_HTTPServer_sleepms,/opt/symgrate2-archive/ti/ns_2_60_00_07/source/ti/net/http/lib/gcc/m4/httpserver_debug.a
